date,total
2013-05,81
2013-06,53
2013-07,102
2013-08,32
2013-09,94
2013-10,115
2013-11,270
2013-12,253
2014-01,248
2014-02,266
2014-03,225
2014-04,204
2014-05,270
2014-06,233
2014-07,232
2014-08,138
2014-09,202
2014-10,79
2014-11,43
2014-12,112
2015-01,89
2015-02,209
2015-03,256
2015-04,169
2015-05,295
2015-06,402
2015-07,274
2015-08,252
2015-09,447
2015-10,384
2015-11,294
2015-12,396
2016-01,196
2016-02,168
2016-03,120
2016-04,82
